,Hour,Weekend,name,Proportion Of Bikes Available,lat,long
1175,21,False,Grant Avenue at Columbus Avenue,0.5519795657726692,37.798522,-122.40724499999999
1176,23,False,Grant Avenue at Columbus Avenue,0.5951468710089399,37.798522,-122.40724499999999
1177,18,False,Grant Avenue at Columbus Avenue,0.4496183206106871,37.798522,-122.40724499999999
1178,0,False,Grant Avenue at Columbus Avenue,0.6030534351145038,37.798522,-122.40724499999999
1179,9,False,Grant Avenue at Columbus Avenue,0.40887198986058293,37.798522,-122.40724499999999
1180,11,True,Grant Avenue at Columbus Avenue,0.5241830065359476,37.798522,-122.40724499999999
1181,4,False,Grant Avenue at Columbus Avenue,0.6,37.798522,-122.40724499999999
1182,8,False,Grant Avenue at Columbus Avenue,0.6618504435994931,37.798522,-122.40724499999999
1183,15,False,Grant Avenue at Columbus Avenue,0.4131812420785806,37.798522,-122.40724499999999
1184,10,True,Grant Avenue at Columbus Avenue,0.554248366013072,37.798522,-122.40724499999999
1185,19,False,Grant Avenue at Columbus Avenue,0.4842911877394634,37.798522,-122.40724499999999
1186,15,True,Grant Avenue at Columbus Avenue,0.46468646864686475,37.798522,-122.40724499999999
1187,16,True,Grant Avenue at Columbus Avenue,0.47647058823529415,37.798522,-122.40724499999999
1188,16,False,Grant Avenue at Columbus Avenue,0.41520912547528516,37.798522,-122.40724499999999
1189,3,True,Grant Avenue at Columbus Avenue,0.5352941176470587,37.798522,-122.40724499999999
1190,18,True,Grant Avenue at Columbus Avenue,0.49738562091503274,37.798522,-122.40724499999999
1191,20,True,Grant Avenue at Columbus Avenue,0.4880258899676376,37.798522,-122.40724499999999
1192,5,True,Grant Avenue at Columbus Avenue,0.5372549019607844,37.798522,-122.40724499999999
1193,11,False,Grant Avenue at Columbus Avenue,0.3918575063613231,37.798522,-122.40724499999999
1194,22,True,Grant Avenue at Columbus Avenue,0.5339805825242718,37.798522,-122.40724499999999
1195,2,False,Grant Avenue at Columbus Avenue,0.6005089058524173,37.798522,-122.40724499999999
1197,23,False,South Van Ness at Market,0.5124548011249497,37.774814,-122.418954
1198,8,True,South Van Ness at Market,0.5465587044534412,37.774814,-122.418954
1199,4,True,South Van Ness at Market,0.5748987854251013,37.774814,-122.418954
